序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
1263,管理学,多主体价值共创对新兴技术负外部性的抑制作用与阈值效应研究,主体 价值 新兴 技术 负外 部性 抑制 作用 阈值 效应 研究,规划基金项目,韩菁,陕西师范大学,陕西,西部,双一流
1264,管理学,回购增持再贷款提升资本市场稳定性：政策评估、机制检验与路径优化研 究,回购 增持 再贷款 提升 资本 市场 稳定性 政策 评估 机制 检验 路径 优化,规划基金项目,陈名芹,汕头大学,广东,东部,普通院校
1265,管理学,董秘履职质量与公司诉讼风险研究：理论逻辑与实证检验,董秘 履职 质量 公司 诉讼 风险 研究 理论 逻辑 实证 检验,青年基金项目,林翠梁,汕头大学,广东,东部,普通院校
1266,管理学,基层公共服务数字化转型中行政负担问题研究,基层 公共 服务 数字化 转型 行政 负担 问题 研究,青年基金项目,童佩珊,上海财经大学,上海,东部,双一流
1267,管理学,“数字化+使命”双元驱动下的中国非遗企业微创新战略形成机制研究,数字化 使命 双元 驱动 中国 非遗 企业 微创 战略 形成 机制 研究,青年基金项目,叶文洁,上海财经大学浙江学院,浙江,东部,普通院校
1268,管理学,Z世代文旅AI虚拟主播信任机制与沉浸决策优化研究,Z世 代文 旅A 虚拟 主播 信任 机制 沉浸 决策 优化 研究,规划基金项目,刘金荣,上海城建职业学院,上海,东部,普通院校
1269,管理学,绿色集装箱港口“能源波动—物流异步”交互传导机理与时空治理策略研 究,绿色 集装箱 港口 能源 波动 物流 异步 交互 传导 机理 时空 治理 策略,规划基金项目,李军军,上海海事大学,上海,东部,普通院校
1270,管理学,“地铁+物流”客货共运模式下多编组列车时空调配优化研究,地铁 物流 客货 共运 模式 编组 列车 时空 调配 优化 研究,青年基金项目,龚聪聪,上海海事大学,上海,东部,普通院校
1271,管理学,要素继替视角下“实数”融合驱动城市全面绿色转型的机制与路径研究,要素 继替 视角 实数 融合 驱动 城市 全面 绿色 转型 机制 路径 研究,青年基金项目,李佳佳,上海商学院,上海,东部,普通院校
1272,管理学,城市更新目标导向下土地价值增值与价值捕获政策研究——以珠三角地区为例,城市 更新 目标 导向 土地 价值 增值 价值 捕获 政策 研究 —— 珠三角 地区,青年基金项目,高欣,深圳大学,广东,东部,普通院校
1273,管理学,融合碳政策的绿色产品信息共享与融资策略协同研究,融合 政策 绿色 产品 信息 共享 融资 策略 协同 研究,青年基金项目,赵亚萍,深圳大学,广东,东部,普通院校
1274,管理学,面向ESG鉴证的多智能体协同决策研究,面向 ESG 鉴证 能体 协同 决策 研究,青年基金项目,付业林,深圳大学,广东,东部,普通院校
1275,管理学,超大城市分割治理的制度溯源及其弥合机制研究,超大 城市 分割 治理 制度 溯源 及其 弥合 机制 研究,规划基金项目,耿旭,深圳大学,广东,东部,普通院校
1276,管理学,“健康中国”视域下在线医疗平台服务质量及医患行为研究,健康 中国 视域 在线 医疗 平台 服务 质量 医患 行为 研究,青年基金项目,卓晓倩,深圳信息职业技术学院,广东,东部,普通院校
1277,管理学,集成学习与系统仿真融合的“无废城市”智慧治理与建设路径优化研究,集成 学习 系统 仿真 融合 无废 城市 智慧 治理 建设 路径 优化 研究,规划基金项目,赵愈,沈阳建筑大学,辽宁,东部,普通院校
1278,管理学,绿色债券信息披露标准统一的信息披露质量效应及其经济后果研究,绿色 债券 信息 披露 标准 统一 信息 披露 质量 效应 及其 经济 后果 研究,青年基金项目,顾振,石河子大学,新疆,西部,双一流
1279,管理学,AI导师与人类导师对新员工主动行为的影响比较——基于多视角、多方法的系列研究,导师 人类 导师 员工 主动 行为 影响 比较 —— 基于 多视角 方法 系列 研究,青年基金项目,李丽源,首都经济贸易大学,北京,东部,普通院校
1280,管理学,企业供应链金融业务的现金流分类隐性选择研究,企业 供应链 金融 业务 现金流 分类 隐性 选择 研究,规划基金项目,黄亮华,首都经济贸易大学,北京,东部,普通院校
1281,管理学,税收征管跨区域协调视角下企业异地投资研究：影响效应与政策评估,税收 征管 跨区域 协调 视角 企业 异地 投资 研究 影响 效应 政策 评估,青年基金项目,张玲玲,首都经济贸易大学,北京,东部,普通院校
1282,管理学,京津冀生态风险传导模式与综合韧性提升机制研究,京津冀 生态 风险 传导 模式 综合 韧性 提升 机制 研究,规划基金项目,张鹏岩,首都经济贸易大学,北京,东部,普通院校
1283,管理学,生成式AI的多层级道德风险生成机制及组织干预策略研究,生成式 AI 层级 道德 风险 生成 机制 组织 干预 策略 研究,青年基金项目,杨娜,首都经济贸易大学,北京,东部,普通院校
1284,管理学,公共资源交易平台对企业跨地区投资决策的影响机制及空间演变规律研究,公共 资源 交易 平台 企业 跨地区 投资 决策 影响 机制 空间 演变 规律 研究,青年基金项目,梁鹏,首都经济贸易大学,北京,东部,普通院校
1285,管理学,数智文旅时代AI主播拟人化设计对观众旅游意愿的影响研究,智文 时代 AI 主播 拟人化 设计 观众 旅游 意愿 影响 研究,规划基金项目,余伟萍,四川大学,四川,西部,双一流
1286,管理学,基于中国情景的创意生成、迭代及管理策略研究,基于 中国 情景 创意 生成 迭代 管理 策略 研究,规划基金项目,杨永忠,四川大学,四川,西部,双一流
1287,管理学,国有企业经理人市场化改革推动资金治理的效应及机制研究,国有 企业 经理人 市场化 改革 推动 资金 治理 效应 机制 研究,规划基金项目,权小锋,苏州大学,江苏,东部,双一流
1288,管理学,新一代信息技术产业集群融通创新超网络演化驱动机制及突破路径研究,新一代 信息 技术 产业 集群 融通 创新 超网络 演化 驱动 机制 突破 路径 研究,青年基金项目,朱晓亚,苏州大学,江苏,东部,双一流
1289,管理学,相关多指标退化系统多故障模式剩余寿命预测与维修决策研究,相关 指标 退化 系统 故障 模式 剩余 寿命 预测 维修 决策 研究,规划基金项目,张晓红,太原科技大学,山西,中部,普通院校
1290,管理学,工业机器人兴起对中国企业出口竞争力的重塑效应及提升路径研究,工业 机器人 兴起 中国 企业 出口 竞争力 重塑 效应 提升 路径 研究,青年基金项目,张凡凡,太原科技大学,山西,中部,普通院校
1291,管理学,大模型赋能低空经济企业创新生态系统韧性提升的机制与路径研究,大模型 赋能 低空 经济 企业 创新 生态 系统 韧性 提升 机制 路径 研究,青年基金项目,张美丽,太原理工大学,山西,中部,双一流
1292,管理学,数据产权三权分置视角下数据交易平台运营模式选择与资源共享策略优化研究,数据 产权 分置 视角 数据 交易 平台 运营 模式 选择 资源 共享 策略 优化 研究,青年基金项目,郭松波,太原理工大学,山西,中部,双一流
1293,管理学,“双碳”目标下耐心资本对企业绿色创新的差异化影响研究,双碳 目标 耐心 资本 企业 绿色 创新 差异化 影响 研究,青年基金项目,杜洋洋,太原学院,山西,中部,普通院校
1294,管理学,逆全球化下中国跨国企业海外研发重塑及其效应研究——基于安全与效率视角,全球化 中国 跨国 企业 海外 研发 重塑 及其 效应 研究 —— 基于 安全 效率 视角,青年基金项目,冯永春,天津财经大学,天津,东部,普通院校
1295,管理学,创新生态系统联合风险协调与治理策略——行为与认知神经视角,创新 生态 系统 联合 风险 协调 治理 策略 —— 行为 认知 神经 视角,青年基金项目,谢昀雅,天津财经大学,天津,东部,普通院校
1296,管理学,悖论结视域下绿色技术创新联合体动态协作机制研究,悖论 结视 域下 绿色 技术 创新 联合体 动态 协作 机制 研究,青年基金项目,钱琴珍,天津财经大学,天津,东部,普通院校
1297,管理学,信息茧房对群体创新行为涌现的跨层次影响研究,信息 茧房 群体 创新 行为 涌现 跨层次 影响 研究,青年基金项目,高雪,天津财经大学,天津,东部,普通院校
1298,管理学,新零工主动社会化中AI实时反馈环境的协同构建机制：三层次匹配与整合效应理论模型,零工 主动 社会化 I实 反馈 环境 协同 构建 机制 层次 匹配 整合 效应 理论 模型,青年基金项目,王旭燕,天津财经大学,天津,东部,普通院校
1299,管理学,健康社区视角下建成环境致胖机制及调控方法研究——以京津冀为例,健康 社区 视角 建成 环境 致胖 机制 调控 方法 研究 —— 京津冀,规划基金项目,盛明洁,天津大学,天津,东部,双一流
1300,管理学,我国国际工程企业ESG制度要求与响应策略研究,我国 国际 工程 企业 ESG 制度 要求 响应 策略 研究,规划基金项目,傅永程,天津大学,天津,东部,双一流
1301,管理学,AIGC时代网络评论对社会风险性信息的舆情影响及其治理机制,AIGC 时代 网络 评论 社会 风险性 信息 舆情 影响 及其 治理 机制,青年基金项目,郝雅立,天津商业大学,天津,东部,普通院校
1302,管理学,人工智能安全与企业绿色治理——基本现象与影响机制,人工 智能 安全 企业 绿色 治理 —— 基本 现象 影响 机制,青年基金项目,李任斯,天津商业大学,天津,东部,普通院校
1303,管理学,AI协同型人力资源管理：构型、作用机制与对策研究,AI协 同型 人力 资源 管理 构型 作用 机制 对策 研究,规划基金项目,刘翔宇,天津师范大学,天津,东部,普通院校
1304,管理学,老年人医疗保健品非理性消费行为形成机制与治理路径研究,老年人 医疗 保健品 非理性 消费 行为 形成 机制 治理 路径 研究,青年基金项目,刘彩,天津中医药大学,天津,东部,双一流
1305,管理学,数字零工模式下自发性过劳的动态演化过程与阶段性干预策略研究,数字 零工 模式 自发性 过劳 动态 演化 过程 阶段性 干预 策略 研究,青年基金项目,杨均,同济大学,上海,东部,双一流
1306,管理学,科技企业负责任创新与ESG的协同演化及政策研究,科技 企业 负责任 创新 ESG 协同 演化 政策 研究,青年基金项目,蒋璐,同济大学,上海,东部,双一流
1307,管理学,感知回路下数据要素产业价值增殖机理及治理策略研究,感知 回路 数据 要素 产业 价值 增殖 机理 治理 策略 研究,青年基金项目,徐涛,同济大学,上海,东部,双一流
